:START_ID(Policy),:END_ID(Bay),round_id:int,reward:float,osr:float,wbi:float,vpr:float,psr:float,cwvr:float,:TYPE
BL,BAY_01,1,-332.0,0.0,1.0,0.0,0.0,0.0,ACHIEVED
BL,BAY_01,2,-563.291,0.0,0.779,1.0,1.0,0.0,ACHIEVED
BL,BAY_01,3,-978.664,0.0,0.7891,1.0,1.0,0.0,ACHIEVED
BL,BAY_01,4,1467.912,0.0,0.9357,1.0,0.0,0.08,ACHIEVED
SF,BAY_01,1,-332.0,0.0,1.0,0.0,0.0,0.0,ACHIEVED
SF,BAY_01,2,-472.966,0.0,0.8114,1.0,1.0,0.0,ACHIEVED
SF,BAY_01,3,-933.517,0.0,0.7988,1.0,1.0,0.0,ACHIEVED
SF,BAY_01,4,1427.998,0.0,0.9298,1.0,0.0,0.08,ACHIEVED
EF,BAY_01,1,-332.0,0.0,1.0,0.0,0.0,0.0,ACHIEVED
EF,BAY_01,2,-490.054,0.0,0.8591,1.0,1.0,0.0,ACHIEVED
EF,BAY_01,3,-893.209,0.0,0.8545,1.0,0.875,0.0,ACHIEVED
EF,BAY_01,4,1459.868,0.0,0.9519,0.99,0.0,0.05,ACHIEVED
