:START_ID(Slot),:END_ID(Constraint),:TYPE
BL_R4_r1_t9_slot,C_COL_WT,VIOLATES
BL_R4_r2_t9_slot,C_COL_WT,VIOLATES
BL_R4_r4_t9_slot,C_COL_WT,VIOLATES
BL_R4_r5_t9_slot,C_COL_WT,VIOLATES
BL_R4_r6_t9_slot,C_COL_WT,VIOLATES
BL_R4_r7_t9_slot,C_COL_WT,VIOLATES
BL_R4_r9_t9_slot,C_COL_WT,VIOLATES
SF_R4_r2_t9_slot,C_COL_WT,VIOLATES
SF_R4_r4_t9_slot,C_COL_WT,VIOLATES
SF_R4_r5_t9_slot,C_COL_WT,VIOLATES
SF_R4_r8_t9_slot,C_COL_WT,VIOLATES
SF_R4_r9_t9_slot,C_COL_WT,VIOLATES
EF_R4_r4_t9_slot,C_COL_WT,VIOLATES
EF_R4_r5_t9_slot,C_COL_WT,VIOLATES
EF_R4_r6_t9_slot,C_COL_WT,VIOLATES
EF_R4_r7_t9_slot,C_COL_WT,VIOLATES
EF_R4_r9_t9_slot,C_COL_WT,VIOLATES
